Title,Price,Available_Colors,Available_Size,Item_Context,Url
Relaxed Fit Cotton T-shirt,449,White/Plant Based,"S,M,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-white-plant-based.html
Regular Fit Puffer jacket,2799,Black,"XS,M,XL",None,https://eg.hm.com/en/buy-regular-fit-puffer-jacket-black.html
Relaxed Fit Sweatshirt,699,Dark green,"XS,S,M",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-dark-green-0.html
Relaxed Fit Hoodie,899,Dark blue,"XS,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-hoodie-dark-blue.html
Baggy Jeans,2499,Dark denim grey,"30/32,31/32,32/32,33/32,34/32",None,https://eg.hm.com/en/buy-baggy-jeans-dark-denim-grey.html
DryMove™ Zip-through sports hoodie,2499,Navy blue,"M,L",Sport,https://eg.hm.com/en/buy-drymovetm-zip-through-sports-hoodie-navy-blue.html
Relaxed Fit Sweatshirt,999,Cream/Stones,"XS,S,L,XL",None,https://eg.hm.com/en/buy-relaxed-fit-sweatshirt-cream-stones.html
Pyjama T-shirt and shorts,799,Dark blue/Eggs,"S,M,L,XL",None,https://eg.hm.com/en/buy-pyjama-t-shirt-and-shorts-dark-blue-eggs.html
Oversized Fit hoodie,1499,Light grey marl,"M,XL",None,https://eg.hm.com/en/buy-oversized-fit-hoodie-light-grey-marl.html
Regular Fit Wool jumper,2799,Dark grey,"XS,S",None,https://eg.hm.com/en/buy-regular-fit-wool-jumper-dark-grey.html
Regular Fit Denim shirt,1999,Light denim blue,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-denim-shirt-light-denim-blue.html
Regular Fit Waffled pyjamas,1499,Grey marl,"XS,S,M,L,XL",None,https://eg.hm.com/en/buy-regular-fit-waffled-pyjamas-grey-marl.html
Relaxed Fit Flannel shirt,899,Dark green/Checked,"S,M,L,XL,XXL",None,https://eg.hm.com/en/buy-relaxed-fit-flannel-shirt-dark-green-checked.html
Regular Fit Ripstop cargo trousers,1999,Beige,"XS,S,M,L",Casual,https://eg.hm.com/en/buy-regular-fit-ripstop-cargo-trousers-beige.html
DryMove™ Sports vest top,699,Black,"XS,S,M,L,XL,XXL,3XL",None,https://eg.hm.com/en/buy-drymovetm-sports-vest-top-black-1.html
